id,බ්ප්,mrp,sp,category
104,සීනි,240,205,
54,පිටි,200,160,
56,මිරිස් කුඩු,1800,1425,
283,කහ කුඩු,3800,3200,
297,තුනපහ,1600,1360,
55,මිරිස් කරල්,1050,960,
120,පරිප්පු,320,280,
295,බිත්තර,50,39,
4.80E+12,ගිනි පෙට්ටි,20,20,
4.79E+12,නෙස්ටමෝල්ට් 600,1320,1310,
4.79E+12,නෙස්ටමෝල්ට් 400,990,830,
4.79E+12,නෙස්ටමෝල්ට් 175,490,485,
4.79E+12,ඇන්කර් 400,1080,1070,
8.89E+12,නයිස් 200,220,220,
8.89E+12,චොක්ලට් මාරි,400,390,
8.89E+12,හවායින් ලොකු,240,235,
8.89E+12,මාරි ලොකු,220,215,
8.89E+12,චො මාරි,100,100,
8.89E+12,ජින්ජර් බිස්කට්,120,120,
8.89E+12,ජින්ජර් බිස්කට් ලො,420,410,
8.89E+12,මාරි,50,50,
4.79E+12,ගොල්ඩ් මාරි,90,90,
4.79E+12,ටිකිරි මාරි ,230,230,
8.89E+12,කැකර්,140,140,
8.89E+12,කැකර්,480,470,
4.79E+12,වේපස්,480,470,
8.89E+12,ටිපින්,190,190,
8.89E+12,ජින්ජර්,220,220,
8.89E+12,ක්රන්ච් බිස්කට්,200,200,
8.89E+12,මිල්ක් බිස්කට්,230,230,
8.89E+12,ක්රන්ච්,100,100,
8.89E+12,නයිස් පොඩි,110,110,
8.89E+12,චීස් බටන් පැකට්,50,50,
53,සුදු ලූණු,700,430,
280,තේ කුඩු,1900,1700,
4.80E+12,මාගම් සෝයා,100,100,
4.80E+12,උම්මලකඩ සෝයා,150,150,
4.79E+12,රයිගම් ඩෙවල්,180,180,
4.80E+12,ලංකා සෝයි,180,180,
281,සෝයා 1,70,70,
8.72E+12,ලාඹ්ජී 100,310,310,
8.72E+12,ලාඹ්ජී 200,620,560,
8.72E+12,ලාඹ්ජී 50,155,155,
4.79E+12,අපේ තේ ,50,50,
4.79E+12,කොටගල 200,480,470,
4.79E+12,වටවල 100,280,280,
4.79E+12,කොටගල 50,120,120,
8.72E+12,ලාඹ්ජී 25,60,60,
4.79E+12,රන් කහට,100,100,
4.80E+12,සිලොන්ටා 50,190,190,
282,සෝයා 2,60,60,
455,බනිස්,100,100,
450,මික්සර් බයිට්,900,650,
261,කාඩ් 50,50,48.5,
262,කාඩ් 100,100,96.5,
263,ඩේටා කාඩ්,58,56.5,
154,ටොපි,750,600,
174,සෙන්ටර් ෂුට්,1100,950,
437,බඩී ෂොපින්,500,100,
438,2 ෂොපින්,400,220,
442,ගොසරි ,800,340,
396,ඉදල,250,220,
498,පහන්තිර,50,50,
513,ඉටිපන්දම්,10,10,
510,දැහැත් පැකට්,20,20,
558,ප්ලාස්ටික් කොසු,400,390,
107,ලයිප්බෝයි සබන්,160,155,
106,සන්ලයිට්,150,145,
109,ලක්ස්,125,120,
110,වෙල්වට් සබන්,130,125,
4.79E+12,ෂෙරමි සබන්,145,140,
4.79E+12,ෂෙරමි පැක්,725,680,
4.79E+12,ෂෙරමි පැක්,435,385,
4.79E+12,පෙයාස් සබන්,145,140,
4.80E+12,විම් කැට ,135,135,
4.80E+12,විම් පැක්,210,180,
4.80E+12,විම් කැට ,40,40,
4.80E+12,විම් දියර,285,285,
4.80E+12,විම් 70,70,64.5,
4.80E+12,විම් ලොකු,265,265,
4.79E+12,වොන්ඩලයිටි ,120,120,
4.79E+12,ලයිප්බොයි පැක්,250,245,
4.79E+12,ලයිප්බොයි පොඩි,85,85,
125,කැලින් සබන්,125,120,
4.79E+12,රාණී සබන්,125,120,
4.80E+12,ඩෙල්මාලයිටි,100,100,
4.79E+12,කොහොඹ බේබි,140,140,
112,ඩෙටෝල් සබන්,150,145,
4.80E+12,සන්ලයිටි කුඩු,430,420,
4.80E+12,සන්ලයිටි කුඩු,120,120,
4.80E+12,සන්ලයිටි කුඩු,25,25,
4.79E+12,දීවා කිලෝ,480,470,
4.79E+12,දීවා 400,220,220,
