id,name,mrp,sp,category
104,iSks,240,205,
54,msgs,200,160,
56,usrsia lqvq,1800,1425,
283,ly lqvq,3800,3200,
297,;qkmy,1600,1360,
55,"usrsia lr,a",1050,960,
120,mrsmamq,320,280,
295,ns;a;r,50,39,
4.79601E+12,.sks fmgags,20,20,
4.79202E+12,"fkiagfuda,aga 600",1320,1310,
4.79202E+12,"fkiagfuda,aga 400",990,830,
4.79202E+12,"fkiagfuda,aga 175",490,485,
4.79109E+12,wekalra 400,1080,1070,
8.8881E+12,khsia 200,220,220,
8.8881E+12,"fpdla,ga udrs",400,390,
8.8881E+12,"yjdhska f,dlq",240,235,
8.8881E+12,"udrs f,dlq",220,215,
8.8881E+12,fpd udrs,100,100,
8.8881E+12,cskacra nsialga,120,120,
8.8881E+12,"cskacra nsialga f,d",420,410,
8.8881E+12,udrs,50,50,
4.79103E+12,"f.d,ava udrs",90,90,
4.79219E+12,gslsrs udrs ,230,230,
8.8881E+12,lelra,140,140,
8.8881E+12,lelra,480,470,
4.79216E+12,fjamia,480,470,
8.8881E+12,gsmska,190,190,
8.8881E+12,cskacra,220,220,
8.8881E+12,larkapa nsialga,200,200,
8.8881E+12,"us,ala nsialga",230,230,
8.8881E+12,larkapa,100,100,
8.8881E+12,khsia fmdvs,110,110,
8.8881E+12,pSia ngka melga,50,50,
53,"iqoq ,QKq",700,430,
280,f;a lqvq,1900,1700,
4.79602E+12,ud.ua fidahd,100,100,
4.796E+12,"Wuau,lv fidahd",150,150,
4.79215E+12,"rhs.ua fvj,a",180,180,
4.796E+12,",xld fidahs",180,180,
281,fidahd 1,70,70,
8.72061E+12,",dUacS 100",310,310,
8.72061E+12,",dUacS 200",620,560,
8.72061E+12,",dUacS 50",155,155,
4.79202E+12,wfma f;a ,50,50,
4.79219E+12,"fldg., 200",480,470,
4.79105E+12,"jgj, 100",280,280,
4.79219E+12,"fldg., 50",120,120,
8.72061E+12,",dUacS 25",60,60,
4.79105E+12,rka lyg,100,100,
4.79601E+12,"isf,dkagd 50",190,190,
282,fidahd 2,60,60,
455,nksia,100,100,
450,uslaira nhsga,900,650,
261,ldva 50,50,48.5,
262,ldva 100,100,96.5,
263,fvagd ldva,58,56.5,
154,fgdms,750,600,
174,fikagra Iqga,1100,950,
437,nvS fIdmska,500,100,
438,2 fIdmska,400,220,
442,f.dirs ,800,340,
396,"bo,",250,220,
498,myka;sr,50,50,
513,bgsmkaoua,10,10,
510,oeye;a melga,20,20,
558,"ma,diagsla fldiq",400,390,
107,",hsmafndahs inka",160,155,
106,"ika,hsga",150,145,
109,",laia",125,120,
